Lat,Lon,Elev.(meters)
-31.57,115.16,-32768.000
-31.6,116.9,298.000
-31.48,116.68,210.000
-31.45,116.64,230.000
-32.32,116.94,243.000
-33.88,115.82,241.000
-32.5,117,324.000
-33.19,116,274.000
-33.55,116.84,269.000
-33.91,116.74,259.000
-33.73,115.82,122.000
-33.25,115.42,-32768.000
-32.92,115,-32768.000
-31.84,115.72,-32768.000
-31.78,116.3,252.000
-31.81,116,30.000
-32.65,116.1,281.000
-32.86,116.04,294.000
-33.01,115.58,-32768.000
-33.25,115.46,-32768.000
-32.08,116.8,345.000
-31.33,115.6,73.000
-31.6,115.28,-32768.000
-33.85,115.32,147.000
-33.91,116.9,326.000
-32.92,115.18,-32768.000
-33.1,115.24,-32768.000
-33.61,116.24,245.000
-31.06,116.32,256.000
-33.07,116.7,284.000
-32.95,116.42,253.000
-33.22,115.06,-32768.000
-32.32,116.6,276.000
-33.73,116.28,295.000
-31.39,116.8,226.000
-31.63,115.68,28.000
-32.05,116.02,39.000
-32.05,116.36,314.000
-31.45,115.9,74.000
-32.83,116.42,361.000
-31.6,116.76,207.000
-31,116.52,282.000
-32.89,115.18,-32768.000
-31.72,115.24,-32768.000
-31.06,115.68,83.000
-33.85,115.14,105.000
-33.67,115.64,129.000
-33.67,115.62,107.000
-31.15,116.36,278.000
-32.29,115.4,-32768.000
-32.35,116.64,272.000
-33.04,115.72,4.000
-33.88,115.4,154.000
-32.05,116.94,274.000
-31.96,116.78,277.000
-31.72,115.08,-32768.000
-31.6,115.96,70.000
-32.26,116.52,316.000
-31.33,115.32,-32768.000
-32.47,115.66,-32768.000
-32.77,116.72,238.000
-33.49,116.12,266.000
-31.36,116.04,213.000
-33.43,115.58,-32768.000
-32.5,116.66,357.000
-32.08,116.54,297.000
-33.61,115.1,17.000
-33.22,116.92,347.000
-31.21,115.34,-32768.000
-33.82,116.82,285.000
-31.15,116.2,308.000
-33.76,116.64,240.000
-32.26,116.48,313.000
-31.27,116.32,324.000
-31.03,115.92,158.000
-33.04,115.82,20.000
-31.09,115.8,120.000
-31.24,116,155.000
-31.6,116.7,166.000
-31.99,115.2,-32768.000
-31.36,115.58,48.000
-32.95,115.6,-32768.000
-33.22,115,-32768.000
-33.46,116.22,185.000
-32.47,115.36,-32768.000
-31.63,115.48,-32768.000
-33.85,115.92,150.000
-33.4,116.74,329.000
-32.44,116.28,313.000
-33.7,115.2,20.000
-32.44,116.02,206.000
-31.27,115.84,75.000
-31.21,115.98,204.000
-33.01,116.66,336.000
-31.18,116.44,290.000
-33.97,117,295.000
-33.13,116.62,312.000
-31.57,115.72,54.000
-31.06,116.1,227.000
-31.78,116.98,243.000
-33.31,115.98,255.000
-31.15,116.06,211.000
-32.83,115.56,-32768.000
-31.21,115.3,-32768.000
-33.22,116.84,317.000
-32.71,115.04,-32768.000
-32.65,116.56,259.000
-33.22,115.66,-32768.000
-33.52,115.74,111.000
-33.76,116.18,227.000
-32.26,115.18,-32768.000
-31.3,115.2,-32768.000
-32.59,116.76,337.000
-32.71,116.42,307.000
-31.9,115.88,28.000
-31.21,115.34,-32768.000
-31.9,116.86,217.000
-33.37,116.76,341.000
-33.94,115.18,98.000
-34,115.26,94.000
-33.55,115.56,10.000
